{'sample_size': 40, 'difference': -6, 'noise': 0, 'n': 8, 'shap_error': 0.004790086793066953, 'weighted_error': 1.0055532485808656}
{'sample_size': 40, 'difference': -6, 'noise': 0, 'n': 8, 'shap_error': 0.004578883758644918, 'weighted_error': 1.0175336214053978}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0001914532904533445, 'weighted_error': 1.0007331337055845}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 0.00012806268054797395, 'weighted_error': 1.0004903765856352}
{'sample_size': 320, 'difference': -14, 'noise': 0, 'n': 8, 'shap_error': 0.000211154103500104, 'weighted_error': 1.0008085564487672}
{'sample_size': 640, 'difference': -11, 'noise': 0, 'n': 8, 'shap_error': 0.0001305344186116008, 'weighted_error': 1.0004998485099363}
{'sample_size': 1280, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 0.00010136829638111667, 'weighted_error': 1.0003881530041596}
{'sample_size': 40, 'difference': -6, 'noise': 0, 'n': 8, 'shap_error': 3.436126200467935e-14, 'weighted_error': 1.0000000000000933}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 3.278765097153389e-14, 'weighted_error': 0.9999999999998431}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 1.6030289120414967e-14, 'weighted_error': 0.9999999999997317}
{'sample_size': 320, 'difference': -14, 'noise': 0, 'n': 8, 'shap_error': 4.0035871773567496e-14, 'weighted_error': 0.9999999999997766}
{'sample_size': 640, 'difference': -11, 'noise': 0, 'n': 8, 'shap_error': 2.2279385635965744e-14, 'weighted_error': 0.9999999999996727}
{'sample_size': 1280, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 1.932045313091001e-14, 'weighted_error': 0.9999999999996675}
{'sample_size': 40, 'difference': -6, 'noise': 0, 'n': 8, 'shap_error': 4.013882041108902e-05, 'weighted_error': 1.004280321871266}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 1.7560871134653597e-05, 'weighted_error': 1.001872641305554}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 5.94647527327365e-06, 'weighted_error': 1.0006341049519294}
{'sample_size': 320, 'difference': -14, 'noise': 0, 'n': 8, 'shap_error': 4.459595157126401e-06, 'weighted_error': 1.0004755846656979}
{'sample_size': 640, 'difference': -11, 'noise': 0, 'n': 8, 'shap_error': 1.524744629674145e-06, 'weighted_error': 1.000162583668035}
{'sample_size': 1280, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 1.0489307809069153e-06, 'weighted_error': 1.0001118583065087}
{'sample_size': 40, 'difference': -6, 'noise': 0, 'n': 8, 'shap_error': 0.008525159672611289, 'weighted_error': 1.0225768146819958}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0014987705735348257, 'weighted_error': 1.003969116463019}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 0.0008258316869781902, 'weighted_error': 1.0021870146998422}
{'sample_size': 320, 'difference': -14, 'noise': 0, 'n': 8, 'shap_error': 0.0001599101116167899, 'weighted_error': 1.000423482129049}
{'sample_size': 640, 'difference': -11, 'noise': 0, 'n': 8, 'shap_error': 0.0001019589423188315, 'weighted_error': 1.00027001204019}
{'sample_size': 1280, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 0.00026428726441553443, 'weighted_error': 1.0006999029495123}
{'sample_size': 40, 'difference': -6, 'noise': 0, 'n': 8, 'shap_error': 0.0011590875316432772, 'weighted_error': 1.081459266504171}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 6.539191218850522e-05, 'weighted_error': 1.0045956906699611}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 3.2134582716505854e-05, 'weighted_error': 1.0022583977583297}
{'sample_size': 320, 'difference': -14, 'noise': 0, 'n': 8, 'shap_error': 3.2714051463087466e-05, 'weighted_error': 1.0022991802844257}
{'sample_size': 640, 'difference': -11, 'noise': 0, 'n': 8, 'shap_error': 9.738166917793593e-06, 'weighted_error': 1.0006843912850967}
{'sample_size': 1280, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 3.1873771115526424e-05, 'weighted_error': 1.0022400963837388}
{'sample_size': 40, 'difference': -6, 'noise': 0, 'n': 8, 'shap_error': 0.0021970979526641943, 'weighted_error': 1.0460252732839497}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0007849251984384718, 'weighted_error': 1.0164428768737759}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 7.279698266737623e-05, 'weighted_error': 1.0015249654231249}
{'sample_size': 320, 'difference': -14, 'noise': 0, 'n': 8, 'shap_error': 4.322313561475886e-05, 'weighted_error': 1.0009054713880299}
{'sample_size': 640, 'difference': -11, 'noise': 0, 'n': 8, 'shap_error': 2.413334662251799e-06, 'weighted_error': 1.000050554340407}
{'sample_size': 1280, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 5.886682438339528e-06, 'weighted_error': 1.0001233128399092}
{'sample_size': 80, 'difference': -12, 'noise': 0.0005, 'n': 8, 'shap_error': 0.015040250763469458, 'weighted_error': 1.017436414046387}
{'sample_size': 80, 'difference': -12, 'noise': 0.001, 'n': 8, 'shap_error': 0.001494451639520417, 'weighted_error': 1.0017325469367047}
{'sample_size': 80, 'difference': -12, 'noise': 0.005, 'n': 8, 'shap_error': 0.019085347521310757, 'weighted_error': 1.0221258368944848}
{'sample_size': 80, 'difference': -12, 'noise': 0.01, 'n': 8, 'shap_error': 0.00523281096877728, 'weighted_error': 1.0060662878287363}
{'sample_size': 80, 'difference': -12, 'noise': 0.05, 'n': 8, 'shap_error': 0.007445243518877225, 'weighted_error': 1.0086295234416685}
{'sample_size': 80, 'difference': -12, 'noise': 0.1, 'n': 8, 'shap_error': 0.007913434117952783, 'weighted_error': 1.009076965240638}
{'sample_size': 80, 'difference': -12, 'noise': 0.5, 'n': 8, 'shap_error': 0.03207888420207883, 'weighted_error': 1.0371437768910106}
{'sample_size': 80, 'difference': -12, 'noise': 1, 'n': 8, 'shap_error': 0.19931337321169407, 'weighted_error': 1.2291781666096913}
{'sample_size': 80, 'difference': -12, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0007818452363131112, 'weighted_error': 1.030548053795118}
{'sample_size': 80, 'difference': -12, 'noise': 0.001, 'n': 8, 'shap_error': 0.0009310720838418196, 'weighted_error': 1.0363775435303868}
{'sample_size': 80, 'difference': -12, 'noise': 0.005, 'n': 8, 'shap_error': 0.0005884522483566886, 'weighted_error': 1.022988756912855}
{'sample_size': 80, 'difference': -12, 'noise': 0.01, 'n': 8, 'shap_error': 0.00014716601422065003, 'weighted_error': 1.005725086330563}
{'sample_size': 80, 'difference': -12, 'noise': 0.05, 'n': 8, 'shap_error': 0.0007701413996186102, 'weighted_error': 1.0299389689666125}
{'sample_size': 80, 'difference': -12, 'noise': 0.1, 'n': 8, 'shap_error': 0.004728600658864863, 'weighted_error': 1.18472985842969}
{'sample_size': 80, 'difference': -12, 'noise': 0.5, 'n': 8, 'shap_error': 0.05274439330005773, 'weighted_error': 3.057774731330714}
{'sample_size': 80, 'difference': -12, 'noise': 1, 'n': 8, 'shap_error': 0.34602505768165537, 'weighted_error': 14.416731035241137}
{'sample_size': 80, 'difference': -12, 'noise': 0.0005, 'n': 8, 'shap_error': 0.00035829540987958173, 'weighted_error': 1.0304133740197896}
{'sample_size': 80, 'difference': -12, 'noise': 0.001, 'n': 8, 'shap_error': 0.00023240567615484374, 'weighted_error': 1.0197277224896244}
{'sample_size': 80, 'difference': -12, 'noise': 0.005, 'n': 8, 'shap_error': 7.758202273927115e-05, 'weighted_error': 1.00658123248846}
{'sample_size': 80, 'difference': -12, 'noise': 0.01, 'n': 8, 'shap_error': 0.001574633022471108, 'weighted_error': 1.1335910147251573}
{'sample_size': 80, 'difference': -12, 'noise': 0.05, 'n': 8, 'shap_error': 0.0019357607409967812, 'weighted_error': 1.1640838596695307}
{'sample_size': 80, 'difference': -12, 'noise': 0.1, 'n': 8, 'shap_error': 0.0025438137139067053, 'weighted_error': 1.2125063379140366}
{'sample_size': 80, 'difference': -12, 'noise': 0.5, 'n': 8, 'shap_error': 0.01378215848447738, 'weighted_error': 2.0376016533852512}
{'sample_size': 80, 'difference': -12, 'noise': 1, 'n': 8, 'shap_error': 0.18042455593382506, 'weighted_error': 16.31338061220435}
{'sample_size': 80, 'difference': -12, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0014497370245616266, 'weighted_error': 1.0072890873242395}
{'sample_size': 80, 'difference': -12, 'noise': 0.001, 'n': 8, 'shap_error': 0.0001403894864243691, 'weighted_error': 1.0007058566356253}
{'sample_size': 80, 'difference': -12, 'noise': 0.005, 'n': 8, 'shap_error': 0.0021361605191550013, 'weighted_error': 1.0107401949892043}
{'sample_size': 80, 'difference': -12, 'noise': 0.01, 'n': 8, 'shap_error': 0.0012927808790928292, 'weighted_error': 1.006490336594149}
{'sample_size': 80, 'difference': -12, 'noise': 0.05, 'n': 8, 'shap_error': 0.0003761670830902704, 'weighted_error': 1.0018167081345153}
{'sample_size': 80, 'difference': -12, 'noise': 0.1, 'n': 8, 'shap_error': 0.002536522266758288, 'weighted_error': 1.0127230789052684}
{'sample_size': 80, 'difference': -12, 'noise': 0.5, 'n': 8, 'shap_error': 0.046455903169014705, 'weighted_error': 1.2325887187332591}
{'sample_size': 80, 'difference': -12, 'noise': 1, 'n': 8, 'shap_error': 0.32421798228956933, 'weighted_error': 2.629597293304207}
{'sample_size': 80, 'difference': -12, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0009450135730279891, 'weighted_error': 1.003618715869584}
{'sample_size': 80, 'difference': -12, 'noise': 0.001, 'n': 8, 'shap_error': 0.00048466189487443286, 'weighted_error': 1.0018557658770748}
{'sample_size': 80, 'difference': -12, 'noise': 0.005, 'n': 8, 'shap_error': 0.001000820912818585, 'weighted_error': 1.0038323628686092}
{'sample_size': 80, 'difference': -12, 'noise': 0.01, 'n': 8, 'shap_error': 0.0008549251324287307, 'weighted_error': 1.0032677626466626}
{'sample_size': 80, 'difference': -12, 'noise': 0.05, 'n': 8, 'shap_error': 0.0036654727185791163, 'weighted_error': 1.0140360935977923}
{'sample_size': 80, 'difference': -12, 'noise': 0.1, 'n': 8, 'shap_error': 0.0023136065927000563, 'weighted_error': 1.0088442999246798}
{'sample_size': 80, 'difference': -12, 'noise': 0.5, 'n': 8, 'shap_error': 0.04386919116977964, 'weighted_error': 1.1666967707945992}
{'sample_size': 80, 'difference': -12, 'noise': 1, 'n': 8, 'shap_error': 0.4534389206507588, 'weighted_error': 2.7360384936901143}
{'sample_size': 80, 'difference': -12, 'noise': 0.0005, 'n': 8, 'shap_error': 9.622342128335148e-08, 'weighted_error': 1.0000020800527525}
{'sample_size': 80, 'difference': -12, 'noise': 0.001, 'n': 8, 'shap_error': 9.979613648281552e-08, 'weighted_error': 1.00000215348078}
{'sample_size': 80, 'difference': -12, 'noise': 0.005, 'n': 8, 'shap_error': 6.521738987924115e-06, 'weighted_error': 1.0001437594492908}
{'sample_size': 80, 'difference': -12, 'noise': 0.01, 'n': 8, 'shap_error': 5.975728859243166e-05, 'weighted_error': 1.00129380403695}
{'sample_size': 80, 'difference': -12, 'noise': 0.05, 'n': 8, 'shap_error': 0.00037135077312252997, 'weighted_error': 1.0081454714553804}
{'sample_size': 80, 'difference': -12, 'noise': 0.1, 'n': 8, 'shap_error': 0.0014095549246992748, 'weighted_error': 1.0307131314231528}
{'sample_size': 80, 'difference': -12, 'noise': 0.5, 'n': 8, 'shap_error': 0.05729431510677799, 'weighted_error': 2.2452824719792654}
{'sample_size': 80, 'difference': -12, 'noise': 1, 'n': 8, 'shap_error': 0.10756157243218728, 'weighted_error': 3.3718940014850682}
{'sample_size': 80, 'difference': -12, 'noise': 0.0005, 'n': 8, 'shap_error': 1.5946932788787468e-05, 'weighted_error': 1.0017003753079636}
{'sample_size': 80, 'difference': -12, 'noise': 0.001, 'n': 8, 'shap_error': 4.1687790110843785e-05, 'weighted_error': 1.0044454285739248}
{'sample_size': 80, 'difference': -12, 'noise': 0.005, 'n': 8, 'shap_error': 3.1667026882190166e-05, 'weighted_error': 1.0033716981797545}
{'sample_size': 80, 'difference': -12, 'noise': 0.01, 'n': 8, 'shap_error': 1.2609665353697625e-05, 'weighted_error': 1.001339229936225}
{'sample_size': 80, 'difference': -12, 'noise': 0.05, 'n': 8, 'shap_error': 0.000501443871063693, 'weighted_error': 1.0521371168178035}
{'sample_size': 80, 'difference': -12, 'noise': 0.1, 'n': 8, 'shap_error': 0.002481059931413925, 'weighted_error': 1.2588186200015532}
{'sample_size': 80, 'difference': -12, 'noise': 0.5, 'n': 8, 'shap_error': 0.04506190998222978, 'weighted_error': 5.7157024830824215}
{'sample_size': 80, 'difference': -12, 'noise': 1, 'n': 8, 'shap_error': 0.08305117487983682, 'weighted_error': 9.838847033602551}
{'sample_size': 80, 'difference': -12, 'noise': 0.0005, 'n': 8, 'shap_error': 0.003157610534058519, 'weighted_error': 1.008362128993307}
{'sample_size': 80, 'difference': -12, 'noise': 0.001, 'n': 8, 'shap_error': 0.00041792588419647383, 'weighted_error': 1.0011067693318831}
{'sample_size': 80, 'difference': -12, 'noise': 0.005, 'n': 8, 'shap_error': 0.0015966842414414646, 'weighted_error': 1.004228095022296}
{'sample_size': 80, 'difference': -12, 'noise': 0.01, 'n': 8, 'shap_error': 0.004009333127673812, 'weighted_error': 1.0106168030648435}
{'sample_size': 80, 'difference': -12, 'noise': 0.05, 'n': 8, 'shap_error': 0.003190305164740289, 'weighted_error': 1.0082214806021568}
{'sample_size': 80, 'difference': -12, 'noise': 0.1, 'n': 8, 'shap_error': 0.003538304503267683, 'weighted_error': 1.009112550735372}
{'sample_size': 80, 'difference': -12, 'noise': 0.5, 'n': 8, 'shap_error': 0.06189277347752286, 'weighted_error': 1.162905912339453}
{'sample_size': 80, 'difference': -12, 'noise': 1, 'n': 8, 'shap_error': 0.32035134537183124, 'weighted_error': 1.8296220707956914}
{'sample_size': 80, 'difference': -12, 'noise': 0.0005, 'n': 8, 'shap_error': 9.399728480914354e-05, 'weighted_error': 1.0066060517213498}
{'sample_size': 80, 'difference': -12, 'noise': 0.001, 'n': 8, 'shap_error': 0.00036339716954135893, 'weighted_error': 1.0255391660779012}
{'sample_size': 80, 'difference': -12, 'noise': 0.005, 'n': 8, 'shap_error': 0.00017024313233651869, 'weighted_error': 1.0119646092786323}
{'sample_size': 80, 'difference': -12, 'noise': 0.01, 'n': 8, 'shap_error': 0.00024811424695792185, 'weighted_error': 1.0172403109500083}
{'sample_size': 80, 'difference': -12, 'noise': 0.05, 'n': 8, 'shap_error': 0.00042593611715301046, 'weighted_error': 1.0297561303084417}
{'sample_size': 80, 'difference': -12, 'noise': 0.1, 'n': 8, 'shap_error': 0.004946036730394702, 'weighted_error': 1.3415359003837475}
{'sample_size': 80, 'difference': -12, 'noise': 0.5, 'n': 8, 'shap_error': 0.011126621540537859, 'weighted_error': 1.7737792712863265}
{'sample_size': 80, 'difference': -12, 'noise': 1, 'n': 8, 'shap_error': 0.38265976552732994, 'weighted_error': 27.849278986369757}
{'sample_size': 80, 'difference': -12, 'noise': 0.0005, 'n': 8, 'shap_error': 0.000990409436280967, 'weighted_error': 1.0207473706944363}
{'sample_size': 80, 'difference': -12, 'noise': 0.001, 'n': 8, 'shap_error': 0.00020127096346308766, 'weighted_error': 1.0042161773044478}
{'sample_size': 80, 'difference': -12, 'noise': 0.005, 'n': 8, 'shap_error': 0.0008266340316402689, 'weighted_error': 1.0173154807829565}
{'sample_size': 80, 'difference': -12, 'noise': 0.01, 'n': 8, 'shap_error': 0.00016649839176227833, 'weighted_error': 1.0034836876728195}
{'sample_size': 80, 'difference': -12, 'noise': 0.05, 'n': 8, 'shap_error': 0.0007305540560068615, 'weighted_error': 1.0153006748041904}
{'sample_size': 80, 'difference': -12, 'noise': 0.1, 'n': 8, 'shap_error': 0.009555835296296453, 'weighted_error': 1.2001705701516947}
{'sample_size': 80, 'difference': -12, 'noise': 0.5, 'n': 8, 'shap_error': 0.0553087321360832, 'weighted_error': 2.154903625290605}
{'sample_size': 80, 'difference': -12, 'noise': 1, 'n': 8, 'shap_error': 0.4130766139306346, 'weighted_error': 9.522094065264053}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0026785793290521887, 'weighted_error': 1.0031053264495473}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00022354940047244044, 'weighted_error': 1.0046829370260675}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0001255349435758627, 'weighted_error': 1.0005391752663924}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00042470345972271136, 'weighted_error': 1.0015864420119491}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0005843722680479452, 'weighted_error': 1.0020949694203587}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.000829446909292312, 'weighted_error': 1.0022185446727254}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0001976173988354429, 'weighted_error': 1.0041810191679201}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0008260452912402582, 'weighted_error': 1.0009773648960683}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0013398127565787655, 'weighted_error': 1.0107799608756582}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 1.6373643231732717e-14, 'weighted_error': 0.9999999999895322}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.002443328152872438, 'weighted_error': 1.021806655678665}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0020376346421620123, 'weighted_error': 1.0067140543551927}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0005051662113037198, 'weighted_error': 1.0080360251205125}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00036102862371978437, 'weighted_error': 1.0015482989107942}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0006361266748390209, 'weighted_error': 1.005108657355356}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0004278381552962163, 'weighted_error': 1.0031200760310581}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0026193570412240868, 'weighted_error': 1.013655457254587}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0003737410832301831, 'weighted_error': 1.031395176039739}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0002980926910410256, 'weighted_error': 1.0011993888314086}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 2.226476129699396e-05, 'weighted_error': 1.0229774921168402}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0003090179584617935, 'weighted_error': 1.0019132415292493}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00040047983926325874, 'weighted_error': 1.0014406575879762}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0022283693985640225, 'weighted_error': 1.0086213080888982}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0004042906554655282, 'weighted_error': 1.0026567622596954}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0005503675897759951, 'weighted_error': 1.0012698036334298}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.000843034267397902, 'weighted_error': 1.039656856168307}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 9.453775442385064e-05, 'weighted_error': 1.004310700535569}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0001501683396004088, 'weighted_error': 1.0001915731211866}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0005348973262632106, 'weighted_error': 1.0030425436092478}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0011402976506397593, 'weighted_error': 1.002350942555274}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0014706646239028725, 'weighted_error': 1.009368698116126}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.001059086605909434, 'weighted_error': 1.0066499199928396}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0014334296203751722, 'weighted_error': 1.0053242957464548}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0005700118566445214, 'weighted_error': 1.0092923911300382}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 8.114010518208467e-06, 'weighted_error': 1.00009444687883}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0002198401769426156, 'weighted_error': 1.0020433227648926}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 8.515751053087615e-06, 'weighted_error': 1.000532301415704}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00036193893266408595, 'weighted_error': 1.0014672244710805}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00021782512797479533, 'weighted_error': 1.0005238616207657}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 1.272699455199378e-14, 'weighted_error': 0.9999999999974818}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 8.544507874596182e-06, 'weighted_error': 1.0002089015924198}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 7.748721588202868e-05, 'weighted_error': 1.0000975040106264}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.003212883177116553, 'weighted_error': 1.0033688882661693}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 6.4021627062782845e-06, 'weighted_error': 1.0003563277101932}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0012178319738021864, 'weighted_error': 1.0043834734403803}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0008166464892954579, 'weighted_error': 1.0036780177333922}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00019998895916174662, 'weighted_error': 1.0013044803075926}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00013422734804971736, 'weighted_error': 1.0031607086837993}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00028278160610043646, 'weighted_error': 1.0015776265617495}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 7.422509613729244e-05, 'weighted_error': 1.0004930115148567}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.001905831744450571, 'weighted_error': 1.0028096933882336}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 7.563314474486353e-05, 'weighted_error': 1.0044239474554382}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0006150904347293644, 'weighted_error': 1.0045233242855733}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00029580941957224464, 'weighted_error': 1.0012585771133915}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0005047484939198967, 'weighted_error': 1.0023225528078117}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 6.116067567470436e-05, 'weighted_error': 1.0001885842731446}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0007775281052086145, 'weighted_error': 1.0008121383099573}
